schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--metador,artifact--sha256:cd8d9a1a9f5b6a20d48e0a91331e24a79e0bdc0ec94a0af99c03daa62b1302e7,observation--sha256:0404ed9c2f648680156692d01f6090b65835f03790200c77f5f90fb1c5d5874f,file-name,cdb.exe,cdb.exe,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"4 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES OVERVIEW The term ‘Magnet of Threats’ is used to describe targets so desirable that multiple threat actors regularly cohabitate on the same victim machine in the course of their collection. A lack of concern for deconfliction has proven the folly of some of the most advanced threat actors known to cyber threat researchers, like Turla, APT28, Careto, Regin, and the Equation Group. In the process of respondi",
1.0.0,actor--metador,artifact--sha256:cd8d9a1a9f5b6a20d48e0a91331e24a79e0bdc0ec94a0af99c03daa62b1302e7,observation--sha256:85576e7ee0c11db20a64e07397f03602c88a2db3262671436a5d27822942eb6a,file-name,cdb.exe,cdb.exe,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"8 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES metaMain supports multiple start_method’s (i.e., execution flows), with the backdoor’s operations differing slightly per method. The methods supported are CDB_DEBUGGER, HKCMD_SIDELOADING, and KL_INJECTED. In this section, we’ll focus on the CDB_DEBUGGER execution flow witnessed on our Magnet of Threats. Additional start methods, configuration artifacts, and supported commands are detailed in the metaMain s",
1.0.0,actor--metador,artifact--sha256:cd8d9a1a9f5b6a20d48e0a91331e24a79e0bdc0ec94a0af99c03daa62b1302e7,observation--sha256:71e61a3441866f11094411eeb67188cc4c999e17c90a565c8d964a635ccc4428,file-name,cdb.exe,cdb.exe,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"9 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES Although the advantages of using Microsoft’s Console Debugger to bypass native security solutions have been documented , its use is rarely observed in-the-wild. cdb.exe is not included with the Windows operating system by default. The threat actor has to bring their own copy to the target system. In this case, cdb.exe was dropped under C:\Windows\System32. On machines Metador operators chose not to persist",
1.0.0,actor--metador,artifact--sha256:27010f74713834ffff2e754ba306b0856a565234816ec0973c98dc08c817c4de,observation--sha256:6696e9b8b823cfc4b9cb7fe5d2e6db84265f9cd68bcf69249511852b86b4ce1d,file-name,cdb.ini,cdb.ini,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"10 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES A debugging script, cdb.ini, is used to inject a small amount of shellcode into the debugged process in order to load metaMain. In most ITW cases, this process was ‘defrag.exe’. The entire content of cdb.ini is shown below: The convoluted script is simple in its structure: the debugger reads the following contents as quadword values (‘eq’), and runs those values at the entry point (‘$exentry’) of the debu",
1.0.0,actor--metador,artifact--sha256:27010f74713834ffff2e754ba306b0856a565234816ec0973c98dc08c817c4de,observation--sha256:a9b6bfec96d7cb13eb68b013feef9503e12b4a3ae22b2143e2930caa775ae388,file-name,cdb.ini,cdb.ini,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"26 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES APPENDIX: INDICATORS OF COMPROMISE For a more extensive breakdown and in-depth reverse engineering of each component as well as updated indicators of compromise, please refer to the living Technical Appendix. C&C servers Description File Path Sha1 metaMain CDB Injector cdb.ini 9fc7df2b2539ec3abeb90848903ad608a1101345 metaMain DLL Loader speech02.db e7f68dc6b8e4cabe5773a5b0b2306a404706de48 metaMain Orchest",
1.0.0,actor--metador,artifact--sha256:27010f74713834ffff2e754ba306b0856a565234816ec0973c98dc08c817c4de,observation--sha256:194f15d1f3a4c9c2e06358bc595a596fa359436de208f77033a5b26aac5d7b88,file-name,cdb.ini,cdb.ini,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"9 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES Although the advantages of using Microsoft’s Console Debugger to bypass native security solutions have been documented , its use is rarely observed in-the-wild. cdb.exe is not included with the Windows operating system by default. The threat actor has to bring their own copy to the target system. In this case, cdb.exe was dropped under C:\Windows\System32. On machines Metador operators chose not to persist",
1.0.0,actor--metador,artifact--sha256:48062cfd4d8517417abe548bc67769e10a75036f6901bf80e583648f4f19967c,observation--sha256:11eb06fe2aafb85d657b30269bdc49f9baeef86977eb0b6e7d009ff0e09b6885,file-name,defrag.exe,defrag.exe,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"10 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES A debugging script, cdb.ini, is used to inject a small amount of shellcode into the debugged process in order to load metaMain. In most ITW cases, this process was ‘defrag.exe’. The entire content of cdb.ini is shown below: The convoluted script is simple in its structure: the debugger reads the following contents as quadword values (‘eq’), and runs those values at the entry point (‘$exentry’) of the debu",
1.0.0,actor--metador,artifact--sha256:48062cfd4d8517417abe548bc67769e10a75036f6901bf80e583648f4f19967c,observation--sha256:3e2142e0b4b60f3e41b03d308a83e96522deca84de6b814e9b5b76c81acd6424,file-name,defrag.exe,defrag.exe,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"9 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES Although the advantages of using Microsoft’s Console Debugger to bypass native security solutions have been documented , its use is rarely observed in-the-wild. cdb.exe is not included with the Windows operating system by default. The threat actor has to bring their own copy to the target system. In this case, cdb.exe was dropped under C:\Windows\System32. On machines Metador operators chose not to persist",
1.0.0,actor--metador,artifact--sha256:fbba0631e3c96db29b29f84e090b4bcc9294a04aeb82f7de1101d21eac5c9606,observation--sha256:f435192330dfdbab06bec997816416d8ecea0dd6c4560a49139500df6722ba76,file-name,msbuild.exe,msbuild.exe,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"12 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES Metador appears to treasure Mafalda as an important asset worth protecting. Both Mafalda variants implement specific measures to remain undetected, including: • Direct Windows system call execution– Mafalda supports what the implants internally refers to as naive and non-naive system call execution: • Naive system calls are standard system call routines implemented in the ntdll.dll library. Detection syst",
1.0.0,actor--metador,artifact--sha256:b075d8bdb8e2455aad294b82f523bb28527aeac43d3f0af2623202fc477f8b9b,observation--sha256:2804d6ab436993505c4b2e988557664d73fe1192791705addea1ea6631efce81,file-name,ntdll.dll,ntdll.dll,candidate,,unknown,unknown,not-stated,,source--metador--e31981b38a4d57b8,Metador/metador_An_Unattributed_Threat_Hiding_in_Telcos_SPs_and_Universities.pdf,"{""page"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"12 THE MYSTERY OF METADOR | AN UNATTRIBUTED THREAT HIDING IN TELCOS, ISPS, AND UNIVERSITIES Metador appears to treasure Mafalda as an important asset worth protecting. Both Mafalda variants implement specific measures to remain undetected, including: • Direct Windows system call execution– Mafalda supports what the implants internally refers to as naive and non-naive system call execution: • Naive system calls are standard system call routines implemented in the ntdll.dll library. Detection syst",
