original_source_path,original_source_location,matched_name,context_excerpt
parse-daily/review-decisions.json,"{""json_path"": ""$.unc6240|https://www.microsoft.com/en-us/security/blog/2026/09/09/passkey-themed-social-engineering-leads-identity-cloud-compromise/.review_notes""}",Storm-3032,torm-3121 conducts initial access activity leading to ShinyHunters and Falcon extortion.」と記載される。ShinyHunters は初期アクセスを受け取る下流の恐喝ブランドとして言及されるだけで、記述されているパスキー装いの社会工学からクラウドデータ窃取までの侵入活動の実行主体ではない。活動は2026年5月以降観測とされる。Storm-3121 と Storm-3032 は unknown-clusters.json へ登録済み。Storm-3121 から ShinyHunters への受け渡しは一次資料が明示する運用関係だが、関係の追加は活動の採用とは別に判断する。
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[21].external_source_checks[0].result""}",Storm-3032,"ePublished 2026-09-09T17:41:18Z、機械照合済)を原文取得して確認し、Attribution節の「Microsoft Threat Intelligence assesses that the initial access activity observed in this campaign is used by a range of threat actors, including Storm-3121, Storm-3032, and others. Storm-3121 conducts initial access activity leading to ShinyHunters and Falcon extortion. Storm-3032 represents a set of actors that splintered from the BlackFile group and now operate under the Helix extor"
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[21].external_source_checks[0].result""}",Storm-3032,"tial access activity observed in this campaign is used by a range of threat actors, including Storm-3121, Storm-3032, and others. Storm-3121 conducts initial access activity leading to ShinyHunters and Falcon extortion. Storm-3032 represents a set of actors that splintered from the BlackFile group and now operate under the Helix extortion banner.」を確認した。観測はMay 2026以降。Storm-3121とStorm-3032を台帳へ新規登録した。BlackFile・Helix・Falconは既に profiles/unc6671 の2026-"
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[21].external_source_checks[0].result""}",Storm-3032,cess activity leading to ShinyHunters and Falcon extortion. Storm-3032 represents a set of actors that splintered from the BlackFile group and now operate under the Helix extortion banner.」を確認した。観測はMay 2026以降。Storm-3121とStorm-3032を台帳へ新規登録した。BlackFile・Helix・Falconは既に profiles/unc6671 の2026-08-07活動へ恐喝ブランドとして記録済みであり、本稿は既存記述を裏付けつつMicrosoftの新規クラスタ指定子を追加する。tech-memo未収録。他の新規3件(09-09 Threat matrix、09-04 secure edge AI、09-03 ASCII smuggling)は命名アクターなし。
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[21].unknown_cluster_updates[5].cluster_id""}",storm-3032,unknown-cluster--storm-3032
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[22].external_source_checks[0].result""}",Storm-3032,新規1件を確認済みとして処理。「Passkey-themed social engineering leads to identity and cloud compromise」(2026-09-09)は原文を取得し、「Storm-3121 conducts initial access activity leading to ShinyHunters and Falcon extortion.」「Storm-3032 represents a set of actors that splintered from the BlackFile group」を確認した。Storm-3121 と Storm-3032 は2026-09-10の走査で台帳へ登録済み。UNC6240側のレコードは実行主体でないため不採用とした。9月のその他4件(AI悪用BEC、Defenderでの検知、クラウドWebアプリの脅威マトリクス、ASCII smuggling)は命名
parse-daily/unknown-clusters.json,"{""json_path"": ""$.analyst_notes""}",Storm-3032,tching.ignored_name_candidates へ追加した。 2026-09-10の日次チェックで6件を追加した。CL-CRI-1171(Unit 42 2026-09-09。PPI型感染サービス。tech-memo未収録)、Ted / curlRAT ツールキット(Rapid7 2026-09-04。運用者未命名。apt37/kimsukyのレコードは類似言及のみで不採用とし実体を台帳へ登録)、Storm-3121 と Storm-3032(Microsoft 2026-09-09。tech-memo未収録。既存の unc6240 / unc6671 の恐喝ブランド生態系と接続するが同一性は未確認)、UNC6508 と UNC5792(GTIG 2026-09-08)。unknown-cluster--shinyhunters は profiles/unc6240 へ統合し status を merged とした。GTIG原文が「UNC6240 (also known a
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[51].attribution.notes""}",Storm-3032,原文は「Storm-3032 represents a set of actors that splintered from the BlackFile group and now operate under the Helix extortion banner.」と述べる。単一の運用主体ではなく分派した複数アクターの集合として定義されている点に注意する。国家帰属の主張はない。
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[51].cluster_id""}",storm-3032,unknown-cluster--storm-3032
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[51].primary_name""}",Storm-3032,Storm-3032
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[51].related_profiles[0].notes""}",Storm-3032,profiles/unc6671 の2026-08-07活動は「UNC6671はBlackFileに加えてRedact、Pink、Helix、Falconを使用し」と記録しており、BlackFile と Helix の双方が既に UNC6671 の恐喝ブランドとして現れる。Microsoft は Storm-3032 を BlackFile からの分派と述べるが、UNC6671 との対応は述べていない。同一運用者と断定できないため統合せず、系譜の可能性として記録する。
