value,type,observed_at,campaign_refs,malware_refs,roles,context_excerpt
1e958b4f40358763ed8ac283a031bf23,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
042dde30e9f5b4e4a85d04ff0f7587ea,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
2c334d7f133ca21f173b1065f4041b4a,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
4c9e6966d9e952c43f4a14772a7b93ac,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
6804c66e4085e8303cc54246f6ee324d,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
70eac0580313e84e6e47af9fd845a97e,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
5c2b5cba8592caac3942d8fe804cd40a,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
9587eeb02e19cbc2715e27fca8bb5103,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
7bafcef2dadb3efee18e3f75ffb9c9fe,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
898fb2ca5b2e32754f62635fda825618,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
a0007c8abcbefa28c00dfb534d05d367,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
bfaf3c422b5f4fcf7e05d743c8d5fcba,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
d509baa79304e6191846e2419ab65220,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
ea01f5bb5bbab2d66d78365abfb2127e,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
77fc8c9b7c002940c569058661f64398,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,Securelist IOC section: WarpRAT
7b3bd2903f30597499bf8dc717918bb3,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-warprat,payload,本文に掲載されたWarpRAT検体
6c6f04ab0cd6f172978966ebf782a0f9,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
1e2b7964871bc78d9d21a253492df937,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
73c8ba65ce9e9f06141ae5a5d50cbff2,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
960f3a159e8a739b618887ebf8cc925f,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
36d6a2c461c02c240882f11c8d7c9002,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
7e107c6f89246002fdc5db759985a86f,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
2651e26d700e648c86c167b6482bf0b6,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
45981f2b70ca73a86a01771e07d98843,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
3638326b7338c90ecbf5a119432cdb2a,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
a9d56109f75e165604c29f5355f43e44,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
aa3d88f6fd0075cef2f90afb90d2a4a8,md5,,activity--goffee-warprat-powertaskel-v2-2026,malware--goffee-powertaskel-v2,payload,Securelist IOC section: PowerTaskel v2
