slug,name,activities_status,relationships_status,associated_entities_status,hunting_pivots_status,malware_status,tools_status,targets_status,motivations_status,attribution_status,activities,dated_activities,relationships,associated_entities,entity_relationships,hunting_pivots,hunting_pivot_observations,malware,activity_linked_malware,tools,targets,motivations,external_activity_leads,external_alias_leads,external_relationship_leads,external_malware_leads,external_tool_leads,gap_count
acidbox,AcidBox,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
admin-338,admin@338,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,lead-only,0,0,0,0,0,0,0,3,0,4,1,0,1,3,0,6,4,5
agrius,Agrius,lead-only,unknown,unknown,unknown,canonical-present,canonical-present,canonical-present,lead-only,canonical-present,0,0,0,0,0,0,0,7,0,2,3,0,2,0,0,13,2,4
ajax-security-team,Ajax Security Team,lead-only,lead-only,unknown,unknown,lead-only,canonical-present,canonical-present,canonical-present,lead-only,0,0,0,0,0,0,0,0,0,2,4,1,8,0,7,12,2,3
akira,Akira,canonical-present,unknown,unknown,canonical-present,canonical-present,canonical-present,canonical-present,lead-only,unknown,17,5,0,0,0,1,1,3,1,5,5,0,0,0,0,4,21,3
allanite,ALLANITE,unknown,canonical-present,unknown,unknown,lead-only,unknown,lead-only,canonical-present,lead-only,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,3
anchor-panda,Anchor Panda,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
andariel,Andariel,canonical-present,canonical-present,unknown,unknown,canonical-present,lead-only,canonical-present,lead-only,canonical-present,6,0,2,0,0,0,0,2,0,0,4,0,33,0,3,4,10,3
andromeda-spider,Andromeda Spider,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
anonymous,Anonymous,unknown,unknown,unknown,unknown,unknown,unknown,unknown,lead-only,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
antlion,Antlion,unknown,unknown,unknown,unknown,lead-only,unknown,lead-only,lead-only,lead-only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5
