value,type,artifact_type,campaign_refs,malware_refs,infrastructure_refs,roles,context
bfadbeee63a4f0bf19ec9deb8fa58f58,md5,,activity--toy-ghouls-bird-backdoors-july-2026,malware--mqtt-bird-agent,infrastructure--toy-ghouls-bird-c2,malware-sample,Kaspersky IOC節: mqtt-bird-agent cplsupport.exe。
7916c33688385525078bee504c90f359,md5,,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,infrastructure--toy-ghouls-bird-c2,malware-sample,Kaspersky IOC節: matrix-bird-agent wtass.exe。
meet.element.tw,domain,,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,infrastructure--toy-ghouls-bird-c2,c2,Kaspersky IOC節: matrix-bird-agentが使用したMatrixサーバー。
cplsupport.exe,,file-name,activity--toy-ghouls-bird-backdoors-july-2026,malware--mqtt-bird-agent,infrastructure--toy-ghouls-bird-c2,implant,Kaspersky IOC節のmqtt-bird-agent検体名。
wtass.exe,,file-name,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,infrastructure--toy-ghouls-bird-c2,implant,Kaspersky IOC節のmatrix-bird-agent検体名。
config.toml,,file-name,activity--toy-ghouls-bird-backdoors-july-2026,malware--mqtt-bird-agent,infrastructure--toy-ghouls-bird-c2,configuration,mqtt-bird-agentの一部暗号化設定ファイル。
cplsupport,,service-name,activity--toy-ghouls-bird-backdoors-july-2026,malware--mqtt-bird-agent,,persistence,mqtt-bird-agentのWindowsサービス名。
Problem Reports Control Panel,,sample-string,activity--toy-ghouls-bird-backdoors-july-2026,malware--mqtt-bird-agent,,service-display-name|persistence,mqtt-bird-agentのWindowsサービス表示名。
wtas,,service-name,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,,persistence,matrix-bird-agentのWindowsサービス名。
Windows Telemetry Aggregator Service,,sample-string,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,,service-display-name|persistence,matrix-bird-agentのWindowsサービス表示名。
HKLM\\Software\\Microsoft\\Cryptography\\MachineGuid,,registry-key,activity--toy-ghouls-bird-backdoors-july-2026,malware--mqtt-bird-agent,,,ChaCha20-Poly1305鍵導出の端末固有素材。
HKLM\\Software\\synapse\\Config\\SealedConfig,,registry-key,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,,,暗号化されたmatrix-bird-agent設定の保存先。
HKLM\\Software\\SynapseAgent\\metrics_interval,,registry-key,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,,,matrix-bird-agentのメトリクス間隔設定。
panel-bot,,sample-string,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,infrastructure--toy-ghouls-bird-c2,c2-account,攻撃者が操作するMatrixアカウント名。
cmd:,,sample-string,activity--toy-ghouls-bird-backdoors-july-2026,malware--mqtt-bird-agent,infrastructure--toy-ghouls-bird-c2,command-marker,mqtt-bird-agentのコマンドメッセージ接頭辞。
config:set_interval,,sample-string,activity--toy-ghouls-bird-backdoors-july-2026,malware--mqtt-bird-agent,infrastructure--toy-ghouls-bird-c2,command-marker,mqtt-bird-agentの設定変更コマンド。
m.bird.status,,sample-string,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,infrastructure--toy-ghouls-bird-c2,protocol-artifact,matrix-bird-agentのイベント種別。
m.bird.metrics,,sample-string,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,infrastructure--toy-ghouls-bird-c2,protocol-artifact,matrix-bird-agentのイベント種別。
m.bird.cmd_response,,sample-string,activity--toy-ghouls-bird-backdoors-july-2026,malware--matrix-bird-agent,infrastructure--toy-ghouls-bird-c2,protocol-artifact,matrix-bird-agentのコマンド応答イベント種別。
