value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles,context
24480dbe306597da1ba393b6e30d542673066f98826cc07ac4b9033137f37dbf,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,web-shell|storm-c2,Microsoft IOC table: web shell communicating with the explicitly named Storm-2603 C2 update.updatemicfosoft.com.
b5a78616f709859a0d9f830d28ff2f9dbbb2387df1753739407917e96dadf6b0,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,web-shell|storm-c2,Microsoft IOC table: web shell communicating with the explicitly named Storm-2603 C2 update.updatemicfosoft.com.
c27b725ff66fdfb11dd6487a3815d1d1eba89d61b0e919e4d06ed3ac6a74fe94,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,web-shell|storm-c2,Microsoft IOC table: web shell communicating with the explicitly named Storm-2603 C2 update.updatemicfosoft.com.
1eb914c09c873f0a7bcf81475ab0f6bdfaccc6b63bf7e5f2dbf19295106af192,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,web-shell|storm-c2,Microsoft IOC table: web shell communicating with the explicitly named Storm-2603 C2 update.updatemicfosoft.com.
4c1750a14915bf2c0b093c2cb59063912dfa039a2adfe6d26d6914804e2ae928,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
83705c75731e1d590b08f9357bc3b0f04741e92a033618736387512b40dab060,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
f54ae00a9bae73da001c4d3d690d26ddf5e8e006b5562f936df472ec5e299441,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
b180ab0a5845ed619939154f67526d2b04d28713fcc1904fbd666275538f431d,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
6753b840cec65dfba0d7d326ec768bff2495784c60db6a139f51c5e83349ac4d,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
7ae971e40528d364fa52f3bb5e0660ac25ef63e082e3bbd54f153e27b31eae68,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
567cb8e8c8bd0d909870c656b292b57bcb24eb55a8582b884e0a228e298e7443,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
445a37279d3a229ed18513e85f0c8d861c6f560e0f914a5869df14a74b679b86,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
ffbc9dfc284b147e07a430fe9471e66c716a84a1f18976474a54bee82605fa9a,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
6b273c2179518dacb1218201fd37ee2492a5e1713be907e69bf7ea56ceca53a5,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
c2c1fec7856e8d49f5d49267e69993837575dbbec99cd702c5be134a85b2c139,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
6f6db63ece791c6dc1054f1e1231b5bbcf6c051a49bad0784569271753e24619,sha256,,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor|malware-sample,Microsoft IOC table: observed hash for IIS_Server_dll.dll explicitly labeled Storm-2603 IIS Backdoor.
update.updatemicfosoft.com,domain,,,activity--storm-2603--toolshell-warlock-2025,,infrastructure--storm-2603-updatemicfosoft-c2,c2-domain|web-shell-c2,Microsoft IOC table explicitly identifies this FQDN as the Storm-2603 C2 used by four listed web shells; Microsoft also provides an actor-specific hunting query for the domain.
msupdate.updatemicfosoft.com,domain,,,activity--storm-2603--toolshell-warlock-2025,,infrastructure--storm-2603-updatemicfosoft-c2,c2-domain,Microsoft IOC table explicitly labels this URL host as a Storm-2603 C2 domain.
65.38.121.198,ipv4,,,activity--storm-2603--toolshell-warlock-2025,,infrastructure--storm-2603-post-exploitation-c2,c2-ip,Microsoft IOC table explicitly labels this address as post-exploitation C2 for Storm-2603.
IIS_Server_dll.dll,,file-name,,activity--storm-2603--toolshell-warlock-2025,,,iis-backdoor,Microsoft IOC table explicitly labels this filename as the Storm-2603 IIS Backdoor; the filename is an artifact rather than an exact IOC.
