value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles
469b534bec827be03c0823e72e7b4da0b84f53199040705da203986ef154406a,sha256,,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
876fb1b0275a653c4210aaf01c2698ec,md5,,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
3b88b3efbdc86383ee9738c92026b8931ce1c13cd75cd1cda2fa302791c2c4fb,sha256,,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
65da1a9026cf171a5a7779bc5ee45fb1,md5,,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
50124174a4ac0d65bf8b6fd66f538829d1589edc73aa7cf36502e57aa5513360,sha256,,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
1ca609e207edb211c8b9566ef35043b6,md5,,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
151257e9dfda476cdafd9983266ad3255104d72a66f9265caa8417a5fe1df5d7,sha256,,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
2ec4eeeabb8f6c2970dcbffdcdbd60e3,md5,,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
word.msapp.workers.dev,domain,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,delivery
cloud.msapp.workers.dev,domain,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,delivery
term-restore-satisfied-hence.trycloudflare.com,domain,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,delivery
ways-sms-pmc-shareholders.trycloudflare.com,domain,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,delivery
resource.infinityfreeapp.com,domain,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,delivery
pubs.infinityfreeapp.com,domain,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,delivery
https://lihi.cc/6dekU,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://lihi.cc/v3OyQ,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://lihi.cc/5nlgd,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://lihi.cc/edcOv,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://lihi.cc/4z5sh,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://tinyurl.com/mr42t4yv,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://tinyurl.com/hycev3y7,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://tinyurl.com/mpa2c5wj,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://tinyurl.com/3wnz46pv,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://my5353.com/ppOH5,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://my5353.com/nWyTf,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://my5353.com/fPUcX,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://my5353.com/ZwEkm,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://my5353.com/vEWiT,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
https://reurl.cc/WNr2Xy,url,,2024-08,activity--apt41-toughprogress-2024,,infra--apt41-free-hosting-delivery,redirect
104075625139-l53k83pb6jbbc2qbreo4i5a0vepen41j.apps.googleusercontent.com,domain,,2024-10,activity--apt41-toughprogress-2024,malware--toughprogress,infra--apt41-google-calendar-c2,c2
https://www.googleapis.com/calendar/v3/calendars/ff57964096cadc1a8733cf566b41c9528c89d30edec86326c723932c1e79ebf0@group.calendar.google.com/events,url,,2024-10,activity--apt41-toughprogress-2024,malware--toughprogress,infra--apt41-google-calendar-c2,c2
出境海關申報清單.zip,,file-name,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
申報物品清單.pdf.lnk,,file-name,2024-10-23,activity--apt41-toughprogress-2024,malware--plusdrop,infra--apt41-compromised-government-site,payload
